pt_index,mean_p_residual_lossless,mean_p_residual_full_y
138317,2.287553702155037,2.2793638681832618
138506,1.5647389257762803,1.5517491943535577
138594,1.4925587195145842,1.482562030352581
138664,1.8567746509903267,1.8157466246087848
138973,2.001388158849388,1.9623623293023995
138986,2.007470427690798,1.9660390642573216
139251,1.714866506383924,1.70487024334143
139323,2.1534472062143313,2.101784601065342
139334,2.1806709117943184,2.1104233380412514
139433,2.4310818982591504,2.407026667972346
139498,2.371628607941205,2.365724813973857
139774,1.700726845436947,1.685293740732086
139837,2.0136621871520872,2.0061691176456415
139905,2.303480299412722,2.2434155148313657
140050,2.587266644571551,2.520900320197094
140295,1.5517947262394387,1.5361237786554094
141121,2.0536187964987818,2.0487802860885056
141289,2.219807708594264,2.190589051054257
141504,1.7561925014342463,1.6839186491479963
141601,1.589463189421229,1.5809150463026842
141763,2.1511695123077548,2.1484410741491113
141952,1.8834686116053252,1.882785741395571
142064,1.5262880853211696,1.5099754739183342
142206,1.8174777162644138,1.8157395408861952
142290,1.9849575041275533,1.9802340242359355
142324,1.8043398082419786,1.784887862970813
